id,name,category,parent_id,synonyms,actionability,oifm_id
FID0390,Thickening of interstitium,lung,,"Interstitial thickening,Interstitial prominence",conditional,OIFM_OIDM_342073
FID0420,Linear opacity,lung,,"Bandlike opacity,Linear opacities",incidental,OIFM_OIDM_062845
FID0440,Lobectomy,lung,,,incidental,OIFM_MGB_340276
FID0450,Low lung volumes,lung,,"Hypoventilation,Poor inspiratory volume,Decreased lung volumes",incidental,OIFM_OIDM_378230
FID0460,Lung abnormality,lung,,,conditional,OIFM_MSFT_737122
FID0465,Osseous lucency,osseous,,,conditional,OIFM_OIDM_289551
FID0470,Lung lucency,lung,,,conditional,OIFM_OIDM_413818
FID0475,Mass,lung,,,significant,OIFM_OIDM_135648
FID0480,Mucoid impaction,lung,,Finger-in-glove opacity,conditional,OIFM_GMTS_015330
FID0485,Bronchial occlusion,lung,,"Cutoff,Endobronchial obstruction,Mucus plugging,Bronchial cutoff sign",significant,OIFM_OIDM_131660
FID0490,Pulmonary nodule,lung,,Lung nodule,conditional,OIFM_CDE_000195
FID0500,Lung transplant,lung,,,incidental,OIFM_OIDM_192483
FID0520,Pulmonary nodules,lung,,Lung nodules,conditional,OIFM_CDE_000195
FID0530,Nipple shadow,lung,,,incidental,OIFM_OIDM_424230
FID0550,Pneumonectomy,lung,,,incidental,OIFM_OIDM_206173
FID0560,Pneumonia,lung,,Pneumonitis,significant,OIFM_CDE_000076
FID0570,Post-resection volume loss,lung,,,incidental,OIFM_OIDM_392629
FID0590,Pulmonary contusion,lung,,,significant,OIFM_OIDM_582211
FID0595,Pulmonary laceration,lung,,"Pneumatocele,Traumatic pneumatocele",significant,OIFM_OIDM_580164
FID0600,Pulmonary edema,lung,,Edema,significant,OIFM_GMTS_014286
FID0605,Alveolar pulmonary edema,lung,FID0600,,significant,OIFM_OIDM_350759
FID0610,Pulmonary fibrosis,lung,,"Fibrotic change,Confluent fibrosis",incidental,OIFM_GMTS_014491
FID0620,Pulmonary oligemia,lung,,,conditional,OIFM_OIDM_229145
FID0640,Reduction of lung markings,lung,,,incidental,OIFM_OIDM_791224
FID0650,Reticulonodular opacity,lung,,,conditional,OIFM_OIDM_855377
FID0660,Surgical staple line in lung,lung,,,incidental,OIFM_OIDM_446102
FID0670,Calcification of trachea,lung,,,incidental,OIFM_OIDM_861352
FID0680,Deviation of trachea,lung,,Tracheal deviation,conditional,OIFM_GMTS_015404
FID0690,Diverticulum of trachea,lung,,,incidental,OIFM_OIDM_554402
