name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
cribriform_carcinoma,invasive_carcinoma,carcinoma_of_breast,Invasive cribriform carcinoma,diagnosis,,
mucinous_carcinoma,invasive_carcinoma,carcinoma_of_breast,"Colloid carcinoma,Mucoid carcinoma",diagnosis,,
mucinous_cystadenocarcinoma,invasive_carcinoma,carcinoma_of_breast,,diagnosis,,
invasive_micropapillary_carcinoma,invasive_carcinoma,carcinoma_of_breast,,diagnosis,,
carcinoma_with_apocrine_differentiation,invasive_carcinoma,carcinoma_of_breast,Apocrine carcinoma,diagnosis,,
metaplastic_carcinoma,invasive_carcinoma,carcinoma_of_breast,,diagnosis,,
low_grade_adenosquamous_carcinoma,invasive_carcinoma,metaplastic_carcinoma,,diagnosis,,
fibromatosis_like_metaplastic_carcinoma,invasive_carcinoma,metaplastic_carcinoma,,diagnosis,,
squamous_cell_carcinoma_of_breast,invasive_carcinoma,metaplastic_carcinoma,Squamous cell carcinoma,diagnosis,,
spindle_cell_carcinoma_of_breast,invasive_carcinoma,metaplastic_carcinoma,Spindle cell carcinoma,diagnosis,,
metaplastic_carcinoma_mesenchymal_differentiation,invasive_carcinoma,metaplastic_carcinoma,,diagnosis,,
metaplastic_carcinoma_chondroid,invasive_carcinoma,metaplastic_carcinoma_mesenchymal_differentiation,"Metaplastic carcinoma with chondroid differentiation,Matrix-producing carcinoma",diagnosis,,
metaplastic_carcinoma_osseous,invasive_carcinoma,metaplastic_carcinoma_mesenchymal_differentiation,Metaplastic carcinoma with osseous differentiation,diagnosis,,
mixed_metaplastic_carcinoma,invasive_carcinoma,metaplastic_carcinoma,,diagnosis,,
inflammatory_breast_carcinoma,invasive_carcinoma,carcinoma_of_breast,"Inflammatory breast cancer,Inflammatory carcinoma",diagnosis,,
salivary_gland_type_carcinoma,salivary_gland_type,,,,,
acinic_cell_carcinoma_of_breast,salivary_gland_type,salivary_gland_type_carcinoma,Acinic cell carcinoma,diagnosis,,
adenoid_cystic_carcinoma_of_breast,salivary_gland_type,salivary_gland_type_carcinoma,Adenoid cystic carcinoma,diagnosis,,
secretory_carcinoma_of_breast,salivary_gland_type,salivary_gland_type_carcinoma,"Juvenile secretory carcinoma,Secretory carcinoma",diagnosis,,
mucoepidermoid_carcinoma_of_breast,salivary_gland_type,salivary_gland_type_carcinoma,Mucoepidermoid carcinoma,diagnosis,,
polymorphous_adenocarcinoma_of_breast,salivary_gland_type,salivary_gland_type_carcinoma,Polymorphous adenocarcinoma,diagnosis,,
tall_cell_carcinoma_reversed_polarity,salivary_gland_type,salivary_gland_type_carcinoma,"TCCRP,Tall cell carcinoma with reversed polarity",diagnosis,,
neuroendocrine_neoplasm_of_breast,neuroendocrine,,,,,
neuroendocrine_tumor_of_breast,neuroendocrine,neuroendocrine_neoplasm_of_breast,"NET breast,Breast carcinoid",diagnosis,,
neuroendocrine_tumor_grade_1,neuroendocrine,neuroendocrine_tumor_of_breast,"Carcinoid-like,NET G1",diagnosis,,
